id,time,band,rx_sign,rx_lat,rx_lon,rx_loc,tx_sign,tx_lat,tx_lon,tx_loc,distance,azimuth,rx_azimuth,frequency,power,snr,drift,version,code,date,time.1,power_watts,altitude_m,altitude_ft,type,alt
3728850598,2021-12-22 18:18:00,10,W9XA,41.854,-88.292,EN51uu,KD9ORR,41.479,-87.042,EN61,112,292,111,10140161,10,-21,0,1.3 Kiwi,1,2021-12-22,18:18:00,3000,9840,,8,3000
3728941170,2021-12-22 18:58:00,10,WA3TTS,40.563,-80.042,EN90xn,KD9ORR,41.688,-86.792,EN61oq,579,100,284,10140188,17,-27,0,2.5.0,1,2021-12-22,18:58:00,5100,16728,,8,5100
3728945792,2021-12-22 19:00:00,10,KX4O,38.646,-77.792,FM18cp,KD9ORR,41.563,-86.625,EN61qn,818,110,296,10140184,37,-26,0,WD_2.10k,1,2021-12-22,19:00:00,740,2427,,0,740
3729090939,2021-12-22 20:08:00,10,KM4BLG/SWL,35.521,-82.625,EM85qm,KD9ORR,40.479,-85.042,EN70,591,158,339,10140171,23,-24,0,2.4.0,1,2021-12-22,20:08:00,6900,22632,,8,6900
3731368467,2021-12-23 12:38:00,10,W3PM,34.729,-86.792,EM64or,KD9ORR,36.479,-73.042,FM36,1257,265,77,10140139,23,-26,1,WD_2.10k,1,2021-12-23,12:38:00,6900,22632,,8,6900
3731991944,2021-12-23 16:00:00,10,WD4ELG,36.188,-79.875,FM06be,KD9ORR,36.563,-70.625,FM46qn,829,270,84,10140149,33,-21,-1,2.5.0,1,2021-12-23,16:00:00,660,2165,,0,660
3732423551,2021-12-23 19:30:00,10,KD2OM,42.979,-77.458,FN12gx,KD9ORR,37.729,-67.458,FM67gr,1028,308,121,10140159,33,-18,0,WD_2.10k,1,2021-12-23,19:30:00,660,2165,,0,660
3732425049,2021-12-23 19:50:00,10,N2HQI,43.021,-76.458,FN13sa,KD9ORR,37.854,-67.125,FM67ku,976,309,122,10140180,27,-27,0,,1,2021-12-23,19:50:00,540,1771,,0,540
3734562949,2021-12-24 11:40:00,10,WA2TP,40.854,-73.042,FN30lu,KD9ORR,46.021,-40.458,GN96sa,2673,269,66,10140156,30,-27,0,WD_2.10k,1,2021-12-24,11:40:00,600,1968,,0,600
3734640740,2021-12-24 12:08:00,10,KD2OM,42.979,-77.458,FN12gx,KD9ORR,46.104,-39.875,HN06bc,2971,277,70,10140165,23,-15,0,WD_2.10k,1,2021-12-24,12:08:00,6900,22632,,8,6900
3734647497,2021-12-24 12:10:00,10,KD2OM,42.979,-77.458,FN12gx,KD9ORR,46.146,-39.625,HN06ed,2989,277,70,10140165,27,-13,0,WD_2.10k,1,2021-12-24,12:10:00,540,1771,,0,540
3734703529,2021-12-24 12:28:00,10,KD2OM,42.979,-77.458,FN12gx,KD9ORR,46.146,-39.625,HN06ed,2989,277,70,10140156,23,-21,0,WD_2.10k,1,2021-12-24,12:28:00,6900,22632,,8,6900
3734710228,2021-12-24 12:30:00,10,KD2OM,42.979,-77.458,FN12gx,KD9ORR,46.229,-39.042,HN06lf,3033,277,69,10140157,27,-21,0,WD_2.10k,1,2021-12-24,12:30:00,540,1771,,0,540
3734773010,2021-12-24 12:50:00,10,KD2OM,42.979,-77.458,FN12gx,KD9ORR,46.271,-38.542,HN06rg,3070,277,69,10140166,30,-24,0,WD_2.10k,1,2021-12-24,12:50:00,600,1968,,0,600
